id,name,host_id,street,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_count,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,avg_availability
241032,Stylish Queen Anne Apartment,956883,"Gilman Dr W, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,10,85.0,-1.0,-1.0,-1.0,-1.0,2,5.0,1,365,True,moderate,True,True,0.7217085235920851
953595,Bright & Airy Queen Anne Apartment,5177328,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,16,150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,90,True,strict,True,True,0.4062595129375951
3308979,New Modern House-Amazing water view,16708587,"West Lee Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,11,4.5,5,7,Real Bed,21,975.0,-1.0,-1.0,1000.0,300.0,10,25.0,4,30,True,strict,True,True,0.23124048706240485
7421966,Queen Anne Chateau,9851441,"8th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,3,1.0,0,2,Real Bed,14,100.0,650.0,2300.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.09794520547945205
278830,Charming craftsman 3 bdm house,1452570,"14th Ave W, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,6,2.0,3,3,Real Bed,13,450.0,-1.0,-1.0,700.0,125.0,6,15.0,1,1125,True,strict,True,True,1.0
5956968,Private unit in a 1920s mansion,326758,"West Comstock Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,2,1.0,1,1,Real Bed,6,120.0,800.0,-1.0,-1.0,40.0,1,30.0,1,6,True,strict,True,True,0.28184931506849314
1909058,Queen Anne Private Bed and Bath,2497928,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,2,1.0,1,1,Real Bed,7,80.0,575.0,-1.0,150.0,-1.0,1,10.0,3,14,True,moderate,True,True,0.8050418569254185
856550,Tiny Garden cabin on Queen Anne  ,4016632,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,98119,Cabin,Private room,2,1.0,1,1,Real Bed,7,60.0,360.0,-1.0,150.0,25.0,1,0.0,2,7,True,strict,True,True,0.5434931506849314
4948745,Urban Charm || Downtown || Views,2166277,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,98109,Apartment,Private room,2,1.0,1,1,Real Bed,15,90.0,500.0,1700.0,-1.0,-1.0,1,0.0,3,1125,True,strict,True,True,0.6168949771689498
2493658,Airy + Bright Queen Anne Apartment,5177328,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,16,150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,365,True,strict,True,True,0.4871955859969558
175576,Private Apartment - Queen Anne Hill,239585,"1st Ave W, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,2,1.0,1,1,Real Bed,21,95.0,595.0,-1.0,-1.0,15.0,2,15.0,3,7,True,moderate,True,True,0.1047945205479452
4454295,Upper Queen Anne Craftsman House,4606439,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,2,1.0,1,1,Real Bed,12,99.0,800.0,2000.0,500.0,150.0,1,0.0,3,1125,True,strict,True,True,0.47768264840182645
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,"West Howe Street, Seattle, WA 98119, United States",N/A,98119,Apartment,Entire home/apt,4,1.0,2,3,Real Bed,17,245.0,1575.0,5800.0,300.0,95.0,1,0.0,3,14,True,moderate,True,True,0.9979452054794521
8889257,Elegance in Historic Queen Anne,25899989,"West Prospect Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,5,1.0,2,3,Real Bed,16,165.0,-1.0,5000.0,400.0,85.0,4,20.0,2,1125,True,strict,True,True,0.6808219178082192
5680462,Stunning 6 bd in THE BEST Location!,22372266,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,16,3.5,6,15,Real Bed,19,461.0,-1.0,-1.0,1500.0,300.0,8,50.0,3,29,True,strict,True,True,0.7295281582952815
8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,"12th Avenue West, Seattle, WA 98119, United States",N/A,98119,House,Entire home/apt,5,1.0,2,2,Real Bed,13,109.0,-1.0,-1.0,-1.0,89.0,1,0.0,3,15,True,strict,True,True,0.7389269406392693
3245876,Park Life in Lower Queen Anne,9465817,"West Mercer Place, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Private room,2,1.0,1,1,Real Bed,14,66.0,-1.0,-1.0,100.0,35.0,1,25.0,1,10,True,moderate,True,True,0.9840372907153729
4933447,"Private Garden Suite, Bay View",25417834,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,2,1.0,1,1,Real Bed,8,99.0,-1.0,-1.0,100.0,15.0,1,0.0,2,14,True,moderate,True,True,0.803234398782344
7735464,Queen Anne Getaway Near Seattle!,6170760,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Private room,2,2.0,1,1,Futon,20,200.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.08561643835616438
6291829,Grand Craftsman Home on Queen Anne,32713558,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,10,3.5,5,5,Real Bed,19,700.0,4100.0,-1.0,500.0,250.0,1,0.0,3,30,True,flexible,True,True,0.9042237442922375
9218403,Queen Anne View One Bedroom,14100483,"West Olympic Place, Seattle, WA 98119, United States",N/A,98119,Condominium,Entire home/apt,1,1.0,1,1,Real Bed,11,110.0,750.0,2500.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.9535197869101978
4125779,Cozy Queen Anne Finished Basement,21401856,"2nd Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,3,1.5,1,2,Real Bed,12,99.0,568.0,2029.0,-1.0,15.0,1,10.0,1,1125,True,moderate,True,True,1.0
8942678,Lovely Queen Anne home,46675077,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,8,2.0,4,4,Real Bed,13,450.0,3000.0,-1.0,-1.0,-1.0,1,0.0,4,1125,True,flexible,True,True,0.036301369863013695
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,2,1.0,1,1,Real Bed,20,75.0,350.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,1.0
6362362,Charming home on Queen Anne,33147763,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,5,2.5,3,3,Real Bed,12,600.0,-1.0,-1.0,500.0,150.0,1,0.0,3,1125,True,moderate,True,True,0.14520547945205478
3544550,VIEW-Monthly Rental Available,16708587,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,8,2.5,3,5,Real Bed,16,450.0,-1.0,-1.0,500.0,200.0,6,50.0,4,1125,True,strict,True,True,0.304851598173516
9025039,Cute Bungalow-Close to Everything!,68155,"West McGraw Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,5,1.0,2,3,Real Bed,13,150.0,-1.0,-1.0,250.0,35.0,1,0.0,1,1125,True,flexible,True,True,0.03356164383561644
3200646,Micro Gypsy Wagon on Queen Anne,4016632,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,98119,Camper/RV,Private room,2,1.0,1,1,Real Bed,6,45.0,360.0,-1.0,150.0,25.0,1,0.0,2,7,True,strict,True,True,0.5968987823439877
8859380,STUNNING VIEW of Puget Sound,3792761,"9th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,6,2.0,3,3,Real Bed,18,300.0,-1.0,-1.0,500.0,125.0,1,0.0,2,1125,True,moderate,True,True,0.9021689497716896
4520099,Open Airy Queen Anne Condo,6184895,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,3,1.0,1,2,Real Bed,14,80.0,500.0,-1.0,-1.0,65.0,3,50.0,2,1125,True,strict,True,True,0.29640410958904106
2481869,Airy + Bright Queen Anne Cottage,5177328,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,14,175.0,1000.0,3200.0,-1.0,40.0,1,0.0,2,365,True,strict,True,True,0.743455098934551
1110749,Queen Anne 3 bed near everything,5325329,"5th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,6,1.5,3,3,Real Bed,13,325.0,-1.0,-1.0,500.0,100.0,6,60.0,2,1125,True,strict,True,True,0.724847792998478
5978498,1914 Stunner View Ocean Mountain,31037494,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,4,3.0,3,2,Real Bed,16,175.0,699.0,2388.0,200.0,80.0,1,0.0,4,120,True,flexible,True,True,0.17089041095890412
5021081,Seattle Queen Anne Beauty,25906186,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,7,3.5,4,3,Real Bed,16,222.0,1325.0,4650.0,500.0,250.0,7,75.0,2,1125,True,strict,True,True,0.0013698630136986301
1686930,The Hideaway- Queen Anne/downtown,8916363,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,19,159.0,-1.0,-1.0,250.0,99.0,1,0.0,1,1125,True,strict,True,True,0.6505327245053272
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,16,125.0,800.0,2700.0,-1.0,50.0,2,25.0,2,365,True,moderate,True,True,0.9917808219178083
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,8,3.0,3,3,Real Bed,14,348.0,2500.0,-1.0,750.0,150.0,6,20.0,3,1125,True,strict,True,True,0.1047945205479452
5062445,Cozy Homebase Close to Downtown,21072725,"West Howe Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Private room,1,1.0,1,1,Futon,11,45.0,450.0,1500.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.9680745814307459
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,12,150.0,950.0,2950.0,-1.0,50.0,2,25.0,2,365,True,moderate,True,True,0.7765220700152207
6389657,Cute little Seattle Studio!,2052160,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,98109,Apartment,Entire home/apt,2,1.0,0,1,Real Bed,20,80.0,-1.0,-1.0,-1.0,20.0,1,0.0,3,1125,True,flexible,True,True,0.5071156773211567
4218733,Walker's Dream on Queen Anne Hill,21896205,"W. Crockett St., Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,17,110.0,-1.0,-1.0,100.0,40.0,2,15.0,2,1125,True,moderate,True,True,0.8015220700152207
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,"-11th Ave. W., Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,3,1.0,1,2,Real Bed,11,148.0,-1.0,-1.0,-1.0,100.0,2,20.0,3,365,True,strict,True,True,0.3859398782343988
1392332,Modern Eco-Friendly View Retreat,2315558,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,4,1.5,2,2,Real Bed,17,350.0,2100.0,-1.0,500.0,100.0,4,0.0,2,30,True,moderate,True,True,0.3151255707762557
7308567,Beautiful 1 Bedrm in Queen Anne,17597607,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,15,150.0,-1.0,-1.0,-1.0,50.0,1,0.0,2,1125,True,moderate,True,True,0.6183028919330289
6575380,One bedroom with Lounge,34392395,"1st Avenue North, Seattle, WA 98109, United States",Queen Anne,98109,House,Private room,5,1.0,1,1,Real Bed,12,150.0,540.0,1911.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.22576103500761036
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,9031463,"West Olympic Place, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,2,1.0,0,1,Futon,15,100.0,-1.0,-1.0,-1.0,-1.0,1,0.0,1,1125,True,flexible,True,True,0.776255707762557
9550869,Queen Anne Craftsman,12867960,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Bungalow,Entire home/apt,10,3.0,4,4,Real Bed,13,349.0,-1.0,-1.0,-1.0,200.0,1,0.0,1,1125,True,strict,True,True,0.9924657534246575
8515408,Queen Anne Hill Craftsman studio,3502513,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Bungalow,Entire home/apt,2,1.0,0,1,Real Bed,14,110.0,700.0,-1.0,-1.0,50.0,1,0.0,2,1125,True,moderate,True,True,0.8081811263318113
5383192,Craftsman House Near Everything,27606550,"West Boston Street, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,4,1.0,1,2,Real Bed,18,160.0,1140.0,-1.0,100.0,55.0,2,25.0,2,1125,True,moderate,True,True,0.2576103500761035
1112092,Seattle Backyard Cottage-Queen Anne,5856339,"6th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,4,1.0,1,3,Real Bed,6,130.0,1000.0,2700.0,140.0,75.0,2,25.0,3,1125,True,moderate,True,True,0.8081811263318113
7772661,:: Carriage House :: Queen Anne ::,40885963,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,House,Entire home/apt,2,1.0,0,1,Real Bed,18,99.0,-1.0,-1.0,-1.0,50.0,2,50.0,1,1125,True,moderate,True,True,0.7430936073059361
9254900,STUDIO APARTMENT WITH A VIEW,27128936,"13th Avenue West, Seattle, WA 98119, United States",N/A,98119,Apartment,Entire home/apt,2,1.0,0,1,Real Bed,5,100.0,-1.0,2000.0,-1.0,40.0,1,0.0,1,1125,True,flexible,True,True,0.16291856925418569
7714294,Top Floor Apt. W/ Spectacular View!,3521823,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,98119,Apartment,Entire home/apt,3,1.0,1,1,Futon,13,137.0,815.0,-1.0,-1.0,20.0,2,20.0,2,1125,True,moderate,True,True,0.28531202435312025
