property_type,neighbourhood,price
Apartment,Alki,163.9
Apartment,Atlantic,89.4
Apartment,Ballard,119.8
Apartment,Belltown,206.6
Apartment,Bitter Lake,82.7
Apartment,Brighton,46.9
Apartment,Broadview,96.8
Apartment,Broadway,182.1
Apartment,Bryant,95.5
Apartment,Capitol Hill,134.4
Apartment,Cedar Park,72.1
Apartment,Central Business District,217.3
Apartment,Columbia City,107.0
Apartment,Dunlap,61.9
Apartment,Eastlake,109.2
Apartment,Fauntleroy,82.1
Apartment,First Hill,153.9
Apartment,Fremont,128.4
Apartment,Gatewood,81.8
Apartment,Genesee,96.5
Apartment,Green Lake,155.7
Apartment,Greenwood,90.8
Apartment,Haller Lake,112.7
Apartment,Harrison/Denny-Blaine,110.9
Apartment,High Point,203.5
Apartment,Highland Park,120.0
Apartment,Interbay,117.9
Apartment,International District,136.9
Apartment,Laurelhurst,93.2
Apartment,Leschi,91.6
Apartment,Lower Queen Anne,145.6
Apartment,Madison Park,98.2
Apartment,Madrona,102.2
Apartment,Magnolia,170.3
Apartment,Maple Leaf,88.1
Apartment,Mathews Beach,75.1
Apartment,Minor,122.7
Apartment,Montlake,127.7
Apartment,Mount Baker,98.7
Apartment,North Admiral,121.5
Apartment,North Beach/Blue Ridge,85.0
Apartment,North Beacon Hill,87.5
Apartment,North Delridge,90.8
Apartment,Olympic Hills,95.0
Apartment,Phinney Ridge,125.6
Apartment,Pike Market,190.9
Apartment,Pike Place Market,203.3
Apartment,Pinehurst,248.4
Apartment,Pioneer Square,162.1
Apartment,Portage Bay,118.3
Apartment,Queen Anne,134.9
Apartment,Ravenna,115.8
Apartment,Riverview,75.8
Apartment,Roosevelt,102.8
Apartment,Seaview,78.4
Apartment,Seward Park,76.9
Apartment,South Delridge,54.0
Apartment,South Lake Union,189.9
Apartment,Stevens,130.2
Apartment,The Junction,104.8
Apartment,University District,98.4
Apartment,Victory Heights,70.4
Apartment,View Ridge,119.5
Apartment,Wallingford,111.0
Apartment,Wedgewood,74.7
Apartment,Westlake,150.2
Apartment,Windermere,160.1
Apartment,Yesler Terrace,138.9
Bed & Breakfast,Ballard,84.5
Bed & Breakfast,Belltown,90.0
Bed & Breakfast,Capitol Hill,112.3
Bed & Breakfast,Cedar Park,82.5
Bed & Breakfast,Crown Hill,65.0
Bed & Breakfast,First Hill,113.7
Bed & Breakfast,Fremont,185.0
Bed & Breakfast,Leschi,125.0
Bed & Breakfast,Magnolia,120.0
Bed & Breakfast,Mount Baker,84.7
Bed & Breakfast,North Admiral,179.0
Bed & Breakfast,North Beacon Hill,89.0
Bed & Breakfast,Phinney Ridge,249.1
Bed & Breakfast,Ravenna,67.3
Bed & Breakfast,Roosevelt,90.0
Bed & Breakfast,Seward Park,47.6
Bed & Breakfast,South Delridge,101.2
Bed & Breakfast,Stevens,141.0
Boat,Ballard,75.0
Boat,Crown Hill,150.0
Boat,Interbay,97.0
Boat,Queen Anne,85.0
Boat,Westlake,461.6
Bungalow,Atlantic,70.0
Bungalow,Ballard,66.4
Bungalow,Bryant,79.0
Bungalow,Greenwood,95.7
Bungalow,Minor,70.0
Bungalow,North Beach/Blue Ridge,95.0
Bungalow,North Beacon Hill,103.9
Bungalow,Queen Anne,233.8
